price;Item number;Item name
562;PTPS-70A-932;WASH TIMER T656(PTPS-70A-999)
563;PTPS-70A-933;GEAR CASE-WITH PULLEY (PTPS-70A-926)
564;PTPS-80GSJ-003;WASH MOTOR ASSY 150W (127/220V)
565;PTPS-90DS-906;SPIN MOTOR ASSY 60W (220-240)
566;PTPS-90DS-908;COUPLING ASSY (BIG)(PTPS-1200KJ 003)
567;PTPS-90DS-909;DAMPING SPRING ASSY
568;PTPS-94-910;SPIN MOTOR 55W (PTPS-970GJ-013)
569;PTPS-94P-904;V BELT TYPE M34.5(PS-825L-019)
570;PTPS-970GJ-016;SPIN TIMER(PTPS-105DSJ-923)(PTPS-61A-905)
571;PTPS-970GJP-004;P PULLEY(PTPS-94B3-002)
572;PTPS-970GJP-005;V BELT TYPE (PTPS-41A-911)
573;PTPS-970GJP-010;BELT (PTPS-60A-923)
574;PTPS-975GJ-001;SPIN MOTOR 55W (2206)
575;PTPS-97A-909;M PULLEY (DS)
576;PTPS-97DJ-005;WASHER LID
577;PTPS-980GJ-011;SPIN MOTOR 60W(127V/220V)
578;PTPS-980KJ-001;DAMPING SPRING
579;PTPS-980KJ-002;COUPLING ASS'Y F15B
580;PTPS-985KJ-014;P PULLE SCREW
581;PTPS-990GSJP-004;P PULLEY(PTPS-81AS-909)(PTPS-100AS-914)
582;PTPS-990KJ-004;SPIN BASKET
583;PTPS-990KJ-006;COUPLING ASSY
584;PTPS-990KJP-008;DRAIN FILTER V10 (PTPS-128P-922)
585;PTPS-995KJ-001;SPIN MOTOR
586;PTPS-99AS-901;WASH MOTR 120W(PS-125-908)PS99
587;PTPS-99AS-904;BELT (PTPS-100AS-915)
588;PTPS-T800BJ-003;SPIN MOTOR ASSY XTD-60W(AL) (220-240V)
589;PTPS-T800BJ-004;DAMPING SPRING ASSY F10
590;PTR-400WP-027;CHILLER DOOR
591;PTR-M800GP2-049;FAN MOTOR SV
592;PTR-M800GP2-073;R FAN MOTOR SV
593;PTR-M800GP2-095;MAIN PCB
594;PTR-M800GP2-099;FAN MOTOR FIXER ASSY
595;PTR-M800GP2-100;DC FAN MOTOR
596;PTR-S800ES8V-001;COMPRESSOR
597;PTR-SF37WVPH-053;OVERLOAD RELAY
598;PTR-V540PGV-007;GASKET-450-R
599;PTR-V540PGV-022;FAN MOTOR SV
600;PTR-V540PGV-023;EVAPORATOR
601;PTR-V610PG3-100;DAMPER + HEATER + ACCESORIES
602;PTR-V690P3M-004;TOUCH SCREEN PANEL PCM
603;PTR-V720PG1-007;HANDLE F ASSY
604;PTR-V720PG1-008;HANDLE UP
605;PTR-V720PG1-020;RACK R2
606;PTR-V720PG1-035;FS SENSOR SV
607;PTR-V720PG1-036;DAMPER
608;PTR-V720PG1-043;LED LAMP R
609;PTR-V720PG1-053;PCB MAIN
610;PTR-V720PG1-063;COMPRESSOR (PTR-WB490P2-101)
611;PTR-V805PS1-003;PCB MAIN
612;PTR-V805PS1-005;PCB-MAIN
613;PTR-VG460P3-014;R MOTOR DC SV
614;PTR-VG460P3-027;PCB MAIN 365L 13
615;PTR-VG490P3-012;R MOTOR DC SV
616;PTR-VG490P3-019;EVAPORATOR
617;PTR-VG490P3-024;DAMPER SV
618;PTR-VG490P3-032;PCB MAIN 300L 13
619;PTR-VG490P3-034;COMPRESSOR (PTR-VG490P3-113)
620;PTR-VG490P3-113;COMPRESSOR (PTR-VG490P3-034)
621;PTR-VG540PG-012;DAMPER
622;PTR-VG560P3-008;EVAPORATOR
623;PTR-VG710P3-024;CRISPER COVER
